samples,pct_of_total,leaf_frame
53,0.15,"net.minecraft.server.level.ChunkGenerationTask.scheduleLayer(ChunkStatus, boolean) line: 121"
51,0.14,"net.minecraft.world.level.levelgen.DensityFunctions$MulOrAdd.transform(double) line: 1102"
51,0.14,"net.minecraft.world.level.block.state.StateHolder.getNullableValue(Property) line: 95"
50,0.14,"net.minecraft.world.level.levelgen.SurfaceRules$LazyYCondition.getContextLastUpdate() line: 274"
49,0.13,"net.minecraft.world.level.chunk.SingleValuePalette.valueFor(int) line: 45"
49,0.13,"net.minecraft.util.CrudeIncrementalIntIdentityHashBiMap.byId(int) line: 49"
47,0.13,"net.minecraft.world.level.levelgen.SurfaceRules$LazyCondition.test() line: 240"
45,0.12,"net.minecraft.world.level.levelgen.LegacyRandomSource.next(int) line: 46"
44,0.12,"net.minecraft.world.level.lighting.SkyLightSectionStorage$SkyDataLayerStorageMap.copy() line: 160"
43,0.12,"net.minecraft.world.level.levelgen.NoiseChunk.fillAllDirectly(double[], DensityFunction) line: 341"
42,0.12,"net.minecraft.server.level.ChunkGenerationTask.scheduleNextLayer() line: 65"
41,0.11,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1134"
41,0.11,"net.minecraft.world.level.levelgen.BitRandomSource.nextInt(int) line: 25"
40,0.11,"org.apache.commons.lang3.Validate.inclusiveBetween(long, long, long) line: 315"
40,0.11,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1215"
38,0.10,"java.util.stream.ReferencePipeline$3$1.accept(Object) line: 214"
37,0.10,"net.minecraft.world.level.levelgen.feature.OreFeature.place(FeaturePlaceContext) line: 51"
37,0.10,"net.minecraft.world.level.chunk.ChunkAccess.setBlockState(BlockPos, BlockState) line: 126"
37,0.10,"it.unimi.dsi.fastutil.ints.IntArraySet.findKey(int) line: 205"
36,0.10,"net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate.apply(DensityFunctions$Spline$Point) line: 1269"
34,0.09,"net.minecraft.world.level.levelgen.Heightmap.primeHeightmaps(ChunkAccess, Set) line: 126"
34,0.09,"net.minecraft.world.level.biome.Climate$RTree$Node.distance(long[]) line: 82"
33,0.09,"net.minecraft.world.level.lighting.BlockLightSectionStorage$BlockDataLayerStorageMap.copy() line: 36"
32,0.09,"it.unimi.dsi.fastutil.doubles.DoubleArrayList.getDouble(int) line: 342"
31,0.09,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1142"
31,0.09,"net.minecraft.world.level.levelgen.Beardifier.fillArray(double[], DensityFunction$ContextProvider) line: 123"
31,0.09,"java.util.Arrays.fill(double[], double) line: 3354"
30,0.08,"net.minecraft.world.level.lighting.SkyLightEngine.propagateIncrease(long, long, int) line: 180"
30,0.08,"java.util.Spliterator.getExactSizeIfKnown() line: 414"
29,0.08,"net.minecraft.world.level.levelgen.SurfaceRules$StoneDepthCheck$1StoneDepthCondition.compute() line: 490"
29,0.08,"net.minecraft.world.level.levelgen.DensityFunctions$YClampedGradient.compute(DensityFunction$FunctionContext) line: 1332"
29,0.08,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1139"
29,0.08,"net.minecraft.core.AxisCycle$2.cycle(int, int, int, Direction$Axis) line: 29"
28,0.08,"net.minecraft.world.level.levelgen.SurfaceRules$SequenceRule.tryApply(int, int, int) line: 388"
28,0.08,"net.minecraft.core.AxisCycle$3.cycle(int, int, int, Direction$Axis) line: 50"
27,0.07,"net.minecraft.world.level.levelgen.Heightmap.update(int, int, int, BlockState) line: 147"
27,0.07,"it.unimi.dsi.fastutil.longs.Long2FloatLinkedOpenHashMap.shiftKeys(int) line: 408"
26,0.07,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 325"
26,0.07,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.calculatePressure(DensityFunction$FunctionContext, MutableDouble, Aquifer$FluidStatus, Aquifer$FluidStatus) line: 499"
26,0.07,"java.util.HashMap.getNode(Object) line: 588"
25,0.07,"jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Object, Object[]) line: 104"
24,0.07,"net.minecraft.world.level.lighting.SkyLightEngine.propagateLightSources(ChunkPos) line: 362"
24,0.07,"net.minecraft.world.level.lighting.BlockLightEngine.propagateIncrease(long, long, int) line: 64"
24,0.07,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseChunkDensityFunction.minValue() line: 420"
24,0.07,"net.minecraft.world.level.levelgen.Beardifier.compute(DensityFunction$FunctionContext) line: 166"
23,0.06,"net.minecraft.world.level.levelgen.carver.WorldCarver.isDebugEnabled(CarverConfiguration) line: 226"
23,0.06,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 79"
23,0.06,"java.util.LinkedList.node(int) line: 588"
22,0.06,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 379"
22,0.06,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 90"
22,0.06,"it.unimi.dsi.fastutil.objects.ObjectOpenCustomHashSet.add(Object) line: 285"
21,0.06,"net.minecraft.world.level.levelgen.NoiseChunk$1.fillAllDirectly(double[], DensityFunction) line: 93"
20,0.05,"net.minecraft.world.level.levelgen.synth.PerlinNoise.getValue(double, double, double, double, double) line: 161"
20,0.05,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.getAquiferStatus(int) line: 541"
20,0.05,"net.minecraft.world.level.biome.Climate$RTree.search(Climate$TargetPoint, Climate$DistanceMetric) line: 265"
20,0.05,"java.util.stream.ReferencePipeline$Head.forEach(Consumer) line: 803"
19,0.05,"net.minecraft.world.level.levelgen.SurfaceRules$TestRuleSource.apply(SurfaceRules$Context) line: 776"
19,0.05,"net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate.minValue() line: 1274"
19,0.05,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1151"
19,0.05,"net.minecraft.core.AxisCycle$1.cycle(int, int, int, Direction$Axis) line: 7"
19,0.05,"java.util.HashMap.hash(Object) line: 338"
18,0.05,"net.minecraft.world.level.lighting.SkyLightSectionStorage$SkyDataLayerStorageMap.copy() line: 144"
18,0.05,"net.minecraft.world.level.levelgen.carver.CaveWorldCarver.createTunnel(CarvingContext, CaveCarverConfiguration, ChunkAccess, Function, long, Aquifer, double, double, double, double, double, float, float, float, int, int, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 120"
18,0.05,"java.lang.Object.clone()"
18,0.05,"com.google.common.base.Suppliers$NonSerializableMemoizingSupplier.get() line: 201"
17,0.05,"net.minecraft.world.level.levelgen.SurfaceSystem.buildSurface(RandomState, BiomeManager, Registry, boolean, WorldGenerationContext, ChunkAccess, NoiseChunk, SurfaceRules$RuleSource) line: 139"
17,0.05,"it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.get(long) line: 332"
16,0.04,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.forAllAxisFaces(DiscreteVoxelShape$IntFaceConsumer, AxisCycle) line: 274"
16,0.04,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 988"
16,0.04,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 980"
15,0.04,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.isFull(AxisCycle, int, int, int) line: 83"
15,0.04,"net.minecraft.world.level.lighting.BlockLightSectionStorage$BlockDataLayerStorageMap.copy() line: 29"
15,0.04,"net.minecraft.world.level.levelgen.carver.WorldCarver.carveEllipsoid(CarvingContext, CarverConfiguration, ChunkAccess, Function, Aquifer, double, double, double, double, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 113"
15,0.04,"net.minecraft.world.level.levelgen.blockpredicates.StateTestingPredicate.test(WorldGenLevel, BlockPos) line: 25"
15,0.04,"net.minecraft.world.level.levelgen.Aquifer$NoiseBasedAquifer.computeSubstance(DensityFunction$FunctionContext, double) line: 396"
15,0.04,"net.minecraft.util.Mth.binarySearch(int, int, IntPredicate) line: 615"
15,0.04,"java.util.stream.AbstractPipeline.copyInto(Sink, Spliterator) line: 569"
15,0.04,"java.util.concurrent.ForkJoinPool.signalWork() line: 1899"
14,0.04,"net.minecraft.world.phys.shapes.BitSetDiscreteVoxelShape.firstFull(Direction$Axis) line: 106"
14,0.04,"net.minecraft.world.level.levelgen.feature.TreeFeature.updateLeaves(LevelAccessor, BoundingBox, Set, Set, Set) line: 225"
14,0.04,"net.minecraft.world.level.levelgen.XoroshiroRandomSource$XoroshiroPositionalRandomFactory.at(int, int, int) line: 143"
14,0.04,"net.minecraft.world.level.levelgen.SurfaceRules$Context.lambda$updateY$0(int, int, int) line: 102"
14,0.04,"java.util.concurrent.ConcurrentLinkedQueue.poll() line: 385"
14,0.04,"java.util.ImmutableCollections$SetN.probe(Object) line: 1253"
14,0.04,"it.unimi.dsi.fastutil.longs.Long2IntOpenHashMap.find(long) line: 248"
14,0.04,"it.unimi.dsi.fastutil.longs.Long2ByteOpenHashMap.get(long) line: 374"
13,0.04,"net.minecraft.server.level.WorldGenRegion.getChunk(int, int, ChunkStatus, boolean) line: 121"
13,0.04,"java.util.stream.ReferencePipeline.toArray(IntFunction) line: 652"
13,0.04,"java.util.HashMap.resize() line: 721"
13,0.04,"java.util.Comparator.lambda$comparingInt$7b0bb60$1(ToIntFunction, Object, Object) line: 494"
12,0.03,"net.minecraft.world.level.levelgen.NoiseChunk$CacheOnce.compute(DensityFunction$FunctionContext) line: 694"
12,0.03,"net.minecraft.world.level.chunk.ChunkGenerator.lambda$applyBiomeDecoration$1(WorldGenLevel, Set, ChunkPos) line: 294"
11,0.03,"java.util.stream.Sink$ChainedReference.end() line: 261"
10,0.03,"net.minecraft.util.Mth.binarySearch(int, int, IntPredicate) line: 622"
10,0.03,"net.minecraft.core.BlockPos$MutableBlockPos.immutable() line: 418"
10,0.03,"java.util.stream.Nodes$FixedNodeBuilder.accept(Object) line: 1230"
10,0.03,"java.util.Arrays.copyOf(Object[], int) line: 3478"
9,0.02,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.isFull(AxisCycle, int, int, int) line: 84"
9,0.02,"net.minecraft.world.level.lighting.BlockLightEngine.propagateIncrease(long, long, int) line: 74"
9,0.02,"net.minecraft.world.level.levelgen.NoiseChunk$NoiseChunkDensityFunction.maxValue() line: 425"
9,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$Spline$Coordinate.mapAll(DensityFunction$Visitor) line: 1283"
9,0.02,"java.util.Collections.unmodifiableMap(Map) line: 1637"
8,0.02,"net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate.processBlockInfos(ServerLevelAccessor, BlockPos, BlockPos, StructurePlaceSettings, List) line: 423"
8,0.02,"net.minecraft.world.level.levelgen.placement.InSquarePlacement.getPositions(PlacementContext, RandomSource, BlockPos) line: 27"
8,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$RangeChoice.minValue() line: 749"
8,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.fillArray(double[], DensityFunction$ContextProvider) line: 1158"
8,0.02,"net.minecraft.world.level.chunk.ChunkAccess.findBlocks(Predicate, BiConsumer) line: 332"
8,0.02,"net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.getBlock() line: 901"
8,0.02,"net.minecraft.server.level.WorldGenRegion.isStateAtPosition(BlockPos, Predicate) line: 422"
8,0.02,"java.util.stream.Sink$ChainedReference.begin(long) line: 256"
8,0.02,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1229"
8,0.02,"it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.find(long) line: 247"
7,0.02,"net.minecraft.world.level.lighting.SkyLightEngine.propagateIncrease(long, long, int) line: 163"
7,0.02,"net.minecraft.world.level.levelgen.structure.templatesystem.StructureTemplate.processBlockInfos(ServerLevelAccessor, BlockPos, BlockPos, StructurePlaceSettings, List) line: 430"
7,0.02,"net.minecraft.world.level.levelgen.structure.templatesystem.RuleProcessor.processBlock(LevelReader, BlockPos, BlockPos, StructureTemplate$StructureBlockInfo, StructureTemplate$StructureBlockInfo, StructurePlaceSettings) line: 31"
7,0.02,"net.minecraft.world.level.levelgen.placement.PlacementFilter.getPositions(PlacementContext, RandomSource, BlockPos) line: 14"
7,0.02,"net.minecraft.world.level.levelgen.placement.HeightRangePlacement.getPositions(PlacementContext, RandomSource, BlockPos) line: 40"
7,0.02,"net.minecraft.world.level.levelgen.placement.EnvironmentScanPlacement.getPositions(PlacementContext, RandomSource, BlockPos) line: 68"
7,0.02,"net.minecraft.world.level.levelgen.feature.Feature.isAdjacentToAir(Function, BlockPos) line: 181"
7,0.02,"net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.doFill(Blender, StructureManager, RandomState, ChunkAccess, int, int) line: 392"
7,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 984"
7,0.02,"net.minecraft.world.level.chunk.HashMapPalette.idFor(Object, PaletteResize) line: 38"
7,0.02,"net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.updateShape(LevelReader, ScheduledTickAccess, BlockPos, Direction, BlockPos, BlockState, RandomSource) line: 1200"
7,0.02,"java.util.stream.StreamOpFlag.fromCharacteristics(Spliterator) line: 750"
7,0.02,"java.util.stream.Sink$ChainedReference.<init>(Sink) line: 251"
7,0.02,"java.util.concurrent.ConcurrentLinkedQueue.offer(Object) line: 380"
7,0.02,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1207"
7,0.02,"java.util.AbstractList$RandomAccessSpliterator.forEachRemaining(Consumer) line: 722"
7,0.02,"it.unimi.dsi.fastutil.longs.Long2ObjectOpenHashMap.get(long) line: 331"
6,0.02,"net.minecraft.world.ticks.ProtoChunkTicks.schedule(SavedTick) line: 24"
6,0.02,"net.minecraft.world.level.levelgen.placement.PlacedFeature.placeWithContext(PlacementContext, RandomSource, BlockPos) line: 49"
6,0.02,"net.minecraft.world.level.levelgen.feature.Feature.safeSetBlock(WorldGenLevel, BlockPos, BlockState, Predicate) line: 155"
6,0.02,"net.minecraft.world.level.levelgen.feature.Feature.place(FeatureConfiguration, WorldGenLevel, ChunkGenerator, RandomSource, BlockPos) line: 164"
6,0.02,"net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.lambda$fillFromNoise$0(ChunkAccess, int, NoiseSettings, int, Blender, StructureManager, RandomState, int) line: 353"
6,0.02,"net.minecraft.world.level.levelgen.Heightmap.primeHeightmaps(ChunkAccess, Set) line: 130"
6,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 983"
6,0.02,"net.minecraft.world.level.levelgen.DensityFunctions$ShiftA.mapAll(DensityFunction$Visitor) line: 796"
6,0.02,"net.minecraft.world.level.biome.Climate$Sampler.sample(int, int, int) line: 458"
6,0.02,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 82"
6,0.02,"net.minecraft.server.level.DistanceManager.runAllUpdates(ChunkMap) line: 74"
6,0.02,"net.minecraft.core.HolderSet$Named.contains(Holder) line: 180"
6,0.02,"java.util.stream.ReferencePipeline$2$1.accept(Object) line: 196"
6,0.02,"java.util.concurrent.ConcurrentLinkedQueue.peek() line: 406"
6,0.02,"java.util.concurrent.CompletableFuture.unipush(CompletableFuture$Completion) line: 614"
6,0.02,"java.util.TimSort.binarySort(Object[], int, int, int, Comparator) line: 296"
6,0.02,"java.util.Map.computeIfAbsent(Object, Function) line: 1067"
6,0.02,"java.util.HashMap.removeNode(int, Object, Object, boolean, boolean) line: 847"
6,0.02,"java.util.HashMap.computeIfAbsent(Object, Function) line: 1220"
5,0.01,"net.minecraft.world.phys.shapes.DiscreteVoxelShape.isFull(AxisCycle, int, int, int) line: 85"
5,0.01,"net.minecraft.world.level.levelgen.carver.WorldCarver.carveEllipsoid(CarvingContext, CarverConfiguration, ChunkAccess, Function, Aquifer, double, double, double, double, double, CarvingMask, WorldCarver$CarveSkipChecker) line: 104"
5,0.01,"net.minecraft.world.level.levelgen.carver.CanyonWorldCarver.initWidthFactors(CarvingContext, CanyonCarverConfiguration, RandomSource) line: 93"
5,0.01,"net.minecraft.world.level.levelgen.SurfaceSystem.buildSurface(RandomState, BiomeManager, Registry, boolean, WorldGenerationContext, ChunkAccess, NoiseChunk, SurfaceRules$RuleSource) line: 124"
5,0.01,"net.minecraft.world.level.levelgen.SurfaceRules$SequenceRuleSource.apply(SurfaceRules$Context) line: 795"
5,0.01,"net.minecraft.world.level.levelgen.NoiseChunk.fillAllDirectly(double[], DensityFunction) line: 339"
5,0.01,"net.minecraft.world.level.levelgen.NoiseBasedChunkGenerator.applyCarvers(WorldGenRegion, long, RandomState, BiomeManager, StructureManager, ChunkAccess) line: 321"
5,0.01,"net.minecraft.world.level.levelgen.LegacyRandomSource.setSeed(long) line: 36"
5,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$TwoArgumentSimpleFunction.create(DensityFunctions$TwoArgumentSimpleFunction$Type, DensityFunction, DensityFunction) line: 981"
5,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$Ap2.compute(DensityFunction$FunctionContext) line: 1133"
5,0.01,"net.minecraft.world.level.levelgen.DensityFunction$SimpleFunction.mapAll(DensityFunction$Visitor) line: 79"
5,0.01,"net.minecraft.world.level.levelgen.DensityFunction$SimpleFunction.fillArray(double[], DensityFunction$ContextProvider) line: 74"
5,0.01,"net.minecraft.world.level.biome.MultiNoiseBiomeSource.getNoiseBiome(int, int, int, Climate$Sampler) line: 73"
5,0.01,"net.minecraft.util.thread.BlockableEventLoop.throwDelayedException() line: 202"
5,0.01,"net.minecraft.util.CubicSpline$Multipoint.create(BoundedFloatFunction, float[], List, float[]) line: 71"
5,0.01,"net.minecraft.server.level.WorldGenRegion.setBlock(BlockPos, BlockState, int, int) line: 260"
5,0.01,"net.minecraft.core.Holder$Reference.value() line: 181"
5,0.01,"java.util.stream.ReferencePipeline.forEachWithCancel(Spliterator, Sink) line: 147"
5,0.01,"java.util.stream.ReferencePipeline$7$1FlatMap.accept(Object) line: 293"
5,0.01,"java.util.BitSet.expandTo(int) line: 357"
5,0.01,"java.util.ArrayList.forEach(Consumer) line: 1604"
5,0.01,"it.unimi.dsi.fastutil.objects.ObjectArraySet.findKey(Object) line: 206"
5,0.01,"io.github.eath1283.worldgend.OrionV2.fill$isSafe(List, OrionV2, int, int) line: 182"
4,0.01,"net.minecraft.world.level.lighting.LightEngine.propagateIncreases() line: 195"
4,0.01,"net.minecraft.world.level.levelgen.feature.OreFeature.doPlace(WorldGenLevel, RandomSource, OreConfiguration, double, double, double, double, double, double, int, int, int, int, int) line: 161"
4,0.01,"net.minecraft.world.level.levelgen.feature.GeodeFeature.place(FeaturePlaceContext) line: 102"
4,0.01,"net.minecraft.world.level.levelgen.XoroshiroRandomSource.nextBits(int) line: 127"
4,0.01,"net.minecraft.world.level.levelgen.SurfaceRules$SequenceRule.tryApply(int, int, int) line: 384"
4,0.01,"net.minecraft.world.level.levelgen.NoiseChunk.fillAllDirectly(double[], DensityFunction) line: 345"
4,0.01,"net.minecraft.world.level.levelgen.NoiseChunk.fillAllDirectly(double[], DensityFunction) line: 343"
4,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$ShiftedNoise.mapAll(DensityFunction$Visitor) line: 689"
4,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$MulOrAdd.mapAll(DensityFunction$Visitor) line: 1111"
4,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$Mapped.mapAll(DensityFunction$Visitor) line: 967"
4,0.01,"net.minecraft.world.level.levelgen.DensityFunctions$Mapped.create(DensityFunctions$Mapped$Type, DensityFunction) line: 901"
4,0.01,"net.minecraft.world.level.block.state.BlockBehaviour$BlockStateBase.mirror(Mirror) line: 999"
4,0.01,"net.minecraft.world.level.block.SculkVeinBlock$SculkVeinSpreaderConfig.stateCanBeReplaced(BlockGetter, BlockPos, BlockPos, Direction, BlockState) line: 174"
4,0.01,"net.minecraft.world.level.LevelReader.getBiome(BlockPos) line: 45"
4,0.01,"net.minecraft.util.Mth.normal(RandomSource, float, float) line: 787"
4,0.01,"net.minecraft.util.CubicSpline$Multipoint.mapAll(CubicSpline$CoordinateVisitor) line: 207"
