config,label,scheduler,mosaic_tile,chunks,max_bg_threads_flag,total_ms,mspc_min,mspc_p1,mspc_p25,mspc_p50,mspc_p75,mspc_p99,mspc_max
orion2_2_4w_tile5_35rerun,"Orion v2.2 4w (tile 5, #35 rerun)",orion2.2,5,6400,4,153339,1.07,4.06,21.96,146.73,496.65,3922.84,12861.80
orion2_1_7w_tile5_polldecouple,"Orion v2.1 7w (tile 5, #41 poll-decouple)",orion2.1,5,6400,7,135215,0.63,2.63,62.70,239.29,630.71,2222.94,16051.55
orion2_2_7w_tile5_polldecouple,"Orion v2.2 7w (tile 5, #41 poll-decouple)",orion2.2,5,6400,7,133864,0.97,3.99,25.29,120.09,464.24,3129.69,9472.25
orion2_1_7w_tile5_mif8,"Orion v2.1 7w tile5 maxInFlight=8 (#42)",orion2.1,5,6400,7,143876,0.48,4.91,19.25,59.91,173.21,2146.77,8879.95
orion2_1_7w_tile5_mif16,"Orion v2.1 7w tile5 maxInFlight=16 (#42)",orion2.1,5,6400,7,132773,0.53,3.33,43.87,123.04,297.42,3827.26,12144.01
orion2_1_7w_tile5_mif32,"Orion v2.1 7w tile5 maxInFlight=32 (#42)",orion2.1,5,6400,7,136088,1.04,2.90,74.60,249.11,580.67,2092.52,15896.20
orion2_1_7w_tile5_mif64,"Orion v2.1 7w tile5 maxInFlight=64 (#42)",orion2.1,5,6400,7,135708,0.22,2.35,60.74,238.05,639.44,2164.12,16460.97
orion2_2_7w_tile5_mif8,"Orion v2.2 7w tile5 maxInFlight=8 (#42)",orion2.2,5,6400,7,136191,1.03,3.85,9.92,15.93,64.55,2241.06,7806.25
orion2_2_7w_tile5_mif16,"Orion v2.2 7w tile5 maxInFlight=16 (#42)",orion2.2,5,6400,7,134101,1.21,3.99,19.39,60.94,272.19,3453.57,10331.73
orion2_2_7w_tile5_mif32,"Orion v2.2 7w tile5 maxInFlight=32 (#42)",orion2.2,5,6400,7,139577,1.01,3.87,23.09,129.08,469.50,3137.50,11725.50
orion2_2_7w_tile5_mif64,"Orion v2.2 7w tile5 maxInFlight=64 (#42)",orion2.2,5,6400,7,132609,1.17,4.68,20.70,111.31,466.06,3228.79,9650.95
orion2_1_7w_tile5_bucketedisSafe,"Orion v2.1 7w tile5 bucketed isSafe (#43)",orion2.1,5,6400,7,132868,0.74,2.97,63.43,243.01,583.31,2105.37,15902.33
orion2_2_7w_tile5_bucketedisSafe,"Orion v2.2 7w tile5 bucketed isSafe (#43)",orion2.2,5,6400,7,137036,1.12,4.28,23.51,139.51,490.27,3739.17,10768.74
orion3_7w_tile5_champion_patched,"Orion v3 patched (7w, tile5, champion, #49)",orion3,5,6400,7,133585,1.02,3.11,67.35,238.25,567.39,2567.53,16799.64
orion3_7w_tile6_champion_jfr,"Orion v3 patched (7w, tile6, champion, JFR profiled, #50)",orion3,6,9216,7,184660,0.28,6.47,78.49,293.28,778.03,3110.63,21071.62
orion2_1_cpu_trace_51,"Orion v2.1 (7w, tile5, CPU-traced, #51)",orion2.1,5,6400,7,139230,1.05,2.33,63.53,246.74,642.43,2399.28,17182.05
orion2_2_cpu_trace_51,"Orion v2.2 (7w, tile5, CPU-traced, #51)",orion2.2,5,6400,7,137340,1.28,4.20,23.25,115.11,487.59,3700.77,10367.78
orion3_cpu_trace_51,"Orion v3 patched (7w, tile5, CPU-traced, #51)",orion3,5,6400,7,132446,1.03,2.47,66.79,225.01,564.24,2254.80,15892.86
run,run,orion3,5,6400,7,128403,0.98,2.30,63.07,216.83,543.40,2317.41,16331.48
orion3_53_control,"Orion v3 patched (control, #53 A/B)",orion3,5,6400,7,129467,0.5,3.14,65.61,227.87,523.4,2673.96,15650.7
orion3_1_53,"Orion v3.1 (biome-memo patch, #53)",orion3,5,6400,7,130502,0.09,2.86,66.87,226.72,565.97,2333.66,15487.53
orion3_54_wc50,"Orion v3 (#54, waitCeilingMs=50, MethodHandle dispatch)",orion3,5,6400,7,130484,0.76,3.15,61.64,227.29,552.37,3127.01,15119.68
orion3_54_wc20,"Orion v3 (#54, waitCeilingMs=20)",orion3,5,6400,7,130578,0.25,2.77,64.67,231.74,566.21,2400.08,16018.72
orion3_54_wc10,"Orion v3 (#54, waitCeilingMs=10)",orion3,5,6400,7,129373,0.98,3.19,65.17,227.22,555.29,2028.69,15731.76
orion3_champion_10ms_default_1,"Orion v3 champion (10ms default confirm, run 1)",orion3,5,6400,7,130445,0.09,3.16,62.15,220.13,549.73,1817.43,15221.09
orion3_champion_10ms_default_2,"Orion v3 champion (10ms default confirm, run 2)",orion3,5,6400,7,128431,0.31,2.57,65.65,218.96,566.47,2152.74,15344.19
orion3_55_structures_true,"Orion v3 champion (generate-structures=true, control)",orion3,5,6400,7,126516,0.11,2.39,59.89,216.16,560.73,2046.87,15086.66
orion3_55_structures_false,Orion v3 champion (generate-structures=false),orion3,5,6400,7,121397,0.74,2.87,65.01,222.3,582.89,2080.14,11377.66
orion4_59_baseline_no_patches,"Orion v3 champion baseline (tile=6, origin, no structure/DFC patches)",orion3,6,9216,7,181639,1.59,5.71,79.74,293.58,744.90,3399.04,21003.02
orion4_59_structure_patch_only,"Orion v4 champion (structure-gen fix only, DFC off, tile=6 origin)",orion4,6,9216,7,187663,0.65,6.76,78.39,297.79,806.79,3234.76,21310.56
orion4_59_with_dfc,"Orion v4 + DFC (#59, measured regression, tile=6 origin)",orion4,6,9216,7,231184,0.08,5.78,72.56,336.83,953.03,4238.33,35956.10
orion4_60_dfc_field_cache,"Orion v4 + DFC, real per-instance field cache (#60, still regression)",orion4,6,9216,7,218796,0.93,5.48,70.07,305.89,915.19,3850.84,31975.54
orion4_61_dfc_interpreted,"Orion v4 + DFC, monomorphic interpreter class (#61, parity/noise-band)",orion4,6,9216,7,192627,0.09,5.87,72.40,268.11,819.26,3281.16,23272.91
orion4_61_dfc_interpreted_run2,"Orion v4 + DFC, monomorphic interpreter, replication run 2 (#61)",orion4,6,9216,7,198734,0.77,5.78,76.37,286.33,848.99,3566.46,24205.36
orion5_62_smoke_tile1_r1,"Orion v5 smoke (tile 1, verify on, pre status-name fix)",orion5,1,256,7,4448,0.70,226.67,521.62,681.60,1091.34,2635.61,2719.86
orion5_62_smoke_tile1_r2,"Orion v5 smoke (tile 1, verify on)",orion5,1,256,7,4750,12.43,299.67,624.67,728.53,1237.15,3051.94,3060.44
orion5_62_smoke_tile1_r3,"Orion v5 smoke (tile 1, verify on)",orion5,1,256,7,4731,5.81,262.10,541.08,626.02,1184.88,3176.91,3181.18
orion5_62_smoke_tile1_r4,"Orion v5 smoke (tile 1, verify on)",orion5,1,256,7,4364,0.21,264.91,544.04,634.91,1115.69,2945.76,2985.51
orion5_62_corr_v4_a,"Orion v4 correctness control A (tile 3, histogram-instrumented)",orion4,3,2304,7,54636,0.88,1.43,18.18,92.92,239.15,917.24,7408.71
orion5_62_corr_v5_a,"Orion v5 correctness run A (tile 3, histogram-instrumented)",orion5,3,2304,7,26157,2.78,339.94,453.13,509.53,561.26,6352.13,6751.41
orion5_62_corr_v4_b,"Orion v4 correctness control B (tile 3, histogram-instrumented)",orion4,3,2304,7,55585,1.03,1.46,16.49,84.37,228.98,960.25,8097.39
orion5_62_corr_v5_b,"Orion v5 correctness run B (tile 3, histogram + verify)",orion5,3,2304,7,30465,0.09,296.25,460.22,508.36,573.38,10162.64,11981.51
orion5_62_v4_control_r1,"Orion v4 champion control, interleaved run 1 (tile 6 origin, CPU-traced)",orion4,6,9216,7,190632,0.12,5.74,80.69,295.65,802.32,3156.02,23004.43
orion5_62_v5_r1,"Orion v5 champion, interleaved run 1 (tile 6 origin, CPU-traced)",orion5,6,9216,7,79733,0.40,284.59,426.97,479.37,550.71,1745.38,7947.80
orion5_62_v4_control_r2,"Orion v4 champion control, interleaved run 2 (tile 6 origin, CPU-traced)",orion4,6,9216,7,191716,1.34,5.23,77.77,295.74,791.71,3407.73,22556.17
orion5_62_v5_r2,"Orion v5 champion, interleaved run 2 (tile 6 origin, CPU-traced)",orion5,6,9216,7,75203,0.71,291.96,407.35,456.96,523.18,1483.43,7130.18
orion5_62_v5_jfr,"Orion v5 champion + JFR profile (tile 6 origin, #62 lane breakdown)",orion5,6,9216,7,78096,0.72,287.58,419.39,471.05,541.57,1716.85,7468.60
orion5_62_v5_maxinflight256,"Orion v5 champion, orion.maxinflight=256 (tile 6 origin)",orion5,6,9216,7,78741,0.10,1093.85,1553.20,1726.43,2002.82,16057.40,16130.47
orion5_62_v5_maxinflight16,"Orion v5 champion, orion.maxinflight=16 (tile 6 origin)",orion5,6,9216,7,74014,0.07,62.23,87.32,101.87,124.71,646.11,4709.65
dragrace3_orion4_r1,"Orion v4 drag race #63 round 1 (tile 5, interleaved vs Paper/Leaf)",orion4,5,6400,7,131587,0.50,2.87,66.93,226.02,541.75,2423.67,16533.82
dragrace3_orion4_r2,"Orion v4 drag race #63 round 2 (tile 5, interleaved vs Paper/Leaf)",orion4,5,6400,7,133558,1.06,2.75,63.98,223.65,548.27,2373.61,16493.06
dragrace3_orion4_r3,"Orion v4 drag race #63 round 3 (tile 5, interleaved vs Paper/Leaf)",orion4,5,6400,7,137449,0.46,2.71,71.43,249.33,578.23,2817.66,16216.29
dragrace3_orion5_r1,"Orion v5 drag race #63 round 1 (tile 5, interleaved vs Paper/Leaf)",orion5,5,6400,7,54845,0.10,264.61,386.34,432.80,501.23,1471.42,9802.12
dragrace3_orion5_r2,"Orion v5 drag race #63 round 2 (tile 5, interleaved vs Paper/Leaf)",orion5,5,6400,7,56371,0.38,255.21,377.23,431.14,516.21,2018.49,10654.47
dragrace3_orion5_r3,"Orion v5 drag race #63 round 3 (tile 5, interleaved vs Paper/Leaf)",orion5,5,6400,7,54006,1.07,263.79,370.35,414.37,485.81,1408.06,9869.64
det65_t6_base_r1,"Orion v5 control #65 round 1 (tile 6, rotating order)",orion5,6,9216,7,83925,1.31,313.85,425.10,481.30,562.17,1789.60,11214.53
det65_t6_base_r2,"Orion v5 control #65 round 2 (tile 6, rotating order)",orion5,6,9216,7,82681,5.06,314.13,431.52,478.82,548.54,1438.18,11090.16
det65_t6_base_r3,"Orion v5 control #65 round 3 (tile 6, rotating order)",orion5,6,9216,7,73435,0.10,257.98,372.20,422.60,497.86,1654.50,8894.66
det65_t6_region_r1,"Orion v5 deterministic region+light #65 round 1 (tile 6, rotating order)",orion5,6,9216,7,86231,0.25,13.84,60.66,120.25,881.33,3032.46,12040.41
det65_t6_region_r2,"Orion v5 deterministic region+light #65 round 2 (tile 6, rotating order)",orion5,6,9216,7,82197,0.26,14.20,58.21,117.71,796.32,2441.19,13012.24
det65_t6_region_r3,"Orion v5 deterministic region+light #65 round 3 (tile 6, rotating order)",orion5,6,9216,7,87768,2.73,14.11,58.31,120.11,848.52,2769.39,13093.57
det65_t6_closure_r1,"Orion v5 deterministic closure+light #65 round 1 (tile 6, rotating order)",orion5,6,9216,7,92955,1.92,11.87,48.68,162.93,1124.33,3304.93,12406.77
det65_t6_closure_r2,"Orion v5 deterministic closure+light #65 round 2 (tile 6, rotating order)",orion5,6,9216,7,98321,1.83,13.62,57.09,158.02,1078.28,3117.70,18464.54
det65_t6_closure_r3,"Orion v5 deterministic closure+light #65 round 3 (tile 6, rotating order)",orion5,6,9216,7,94989,2.68,11.92,49.70,170.84,1070.87,2975.05,16960.69
